Profile_10_1.csv,GTNETSKT1_from.txt,GTNETSKT1_to.txt
Time,,
L1,LADPinput,
L2,LAEPinput,
L3,LAFPinput,
L4,LBDPinput,
L5,LBEPinput,
L6,LBFPinput,
L7,LCDPinput,
L8,LCEPinput,
L9,LCFPinput,
L10,LDDPinput,
L11,LDEPinput,
L12,LDFPinput,
L13,PMMport1,
L14,PMMstbd1,
L15,RGPinput,
L16,LAECEVPin,
L17,LAECCVPin,
L18,LAEMEVPin,
L19,LAEMCVPin,
L20,LAECENPin,
L21,LAECCNPin,
L22,LAEMENPin,
L23,LAEMCNPin,
L24,LBECEVPin,
L25,LBECCVPin,
L26,LBEMEVPin,
L27,LBEMCVPin,
L28,LBECENPin,
L29,LBECCNPin,
L30,LBEMENPin,
L31,LBEMCNPin,
L32,LCECEVPin,
L33,LCECCVPin,
L34,LCEMEVPin,
L35,LCEMCVPin,
L36,LCECENPin,
L37,LCECCNPin,
L38,LCEMENPin,
L39,LCEMCNPin,
L40,LDECEVPin,
L41,LDECCVPin,
L42,LDEMEVPin,
L43,LDEMCVPin,
L44,LDECENPin,
L45,LDECCNPin,
L46,LDEMENPin,
L47,LDEMCNPin,
L48,LAEQinput,
L49,LBEQinput,
L50,LCEQinput,
L51,LDEQinput,
