Time,var1,var2
0.0,1.0,7.5
0.01,1.014998,7.499975
0.02,1.029982,7.4999
0.03,1.044939,7.499775
0.04,1.059856,7.4996
0.05,1.074719,7.499375
0.06,1.089515,7.4991
0.07,1.10423,7.498776
0.08,1.118851,7.498401
0.09,1.133366,7.497976
0.1,1.14776,7.497502
0.11,1.162022,7.496978
0.12,1.176137,7.496404
0.13,1.190094,7.495781
0.14,1.20388,7.495108
0.15,1.217483,7.494386
0.16,1.23089,7.493614
0.17,1.244089,7.492792
0.18,1.257068,7.491922
0.19,1.269816,7.491002
0.2,1.282321,7.490033
0.21,1.294572,7.489015
0.22,1.306558,7.487949
0.23,1.318269,7.486833
0.24,1.329692,7.485669
0.25,1.340819,7.484456
0.26,1.35164,7.483195
0.27,1.362144,7.481885
0.28,1.372322,7.480528
0.29,1.382164,7.479122
0.3,1.391663,7.477668
0.31,1.40081,7.476167
0.32,1.409596,7.474618
0.33,1.418013,7.473021
0.34,1.426054,7.471377
0.35,1.433712,7.469686
0.36,1.440979,7.467948
0.37,1.447849,7.466164
0.38,1.454317,7.464332
0.39,1.460375,7.462455
0.4,1.46602,7.46053
0.41,1.471244,7.45856
0.42,1.476045,7.456544
0.43,1.480418,7.454483
0.44,1.484358,7.452376
0.45,1.487862,7.450224
0.46,1.490927,7.448026
0.47,1.49355,7.445784
0.48,1.495729,7.443497
0.49,1.497462,7.441166
0.5,1.498747,7.438791
0.51,1.499584,7.436372
0.52,1.499971,7.43391
0.53,1.499908,7.431404
0.54,1.499395,7.428854
0.55,1.498433,7.426262
0.56,1.497022,7.423628
0.57,1.495163,7.42095
0.58,1.49286,7.418231
0.59,1.490112,7.41547
0.6,1.486924,7.412668
0.61,1.483297,7.409824
0.62,1.479236,7.406939
0.63,1.474743,7.404014
0.64,1.469823,7.401048
0.65,1.46448,7.398042
0.66,1.458719,7.394996
0.67,1.452545,7.391911
0.68,1.445964,7.388786
0.69,1.438982,7.385623
0.7,1.431605,7.382421
0.71,1.423839,7.379181
0.72,1.415692,7.375903
0.73,1.40717,7.372587
0.74,1.398283,7.369234
0.75,1.389037,7.365844
0.76,1.37944,7.362418
0.77,1.369503,7.358955
0.78,1.359232,7.355457
0.79,1.348639,7.351923
0.8,1.337732,7.348353
0.81,1.32652,7.344749
0.82,1.315015,7.341111
0.83,1.303227,7.337438
0.84,1.291165,7.333731
0.85,1.278842,7.329992
0.86,1.266267,7.326219
0.87,1.253453,7.322413
0.88,1.240411,7.318576
0.89,1.227153,7.314706
0.9,1.21369,7.310805
0.91,1.200035,7.306873
0.92,1.1862,7.30291
0.93,1.172197,7.298917
0.94,1.158039,7.294894
0.95,1.143739,7.290842
0.96,1.12931,7.28676
0.97,1.114764,7.28265
0.98,1.100115,7.278511
0.99,1.085376,7.274345
1.0,1.07056,7.270151
1.01,1.055681,7.26593
1.02,1.040751,7.261683
1.03,1.025785,7.257409
1.04,1.010795,7.25311
1.05,0.995796,7.248786
1.06,0.980801,7.244436
1.07,0.965823,7.240062
1.08,0.950876,7.235664
1.09,0.935973,7.231243
1.1,0.921127,7.226798
1.11,0.906353,7.222331
1.12,0.891662,7.217841
1.13,0.87707,7.21333
1.14,0.862588,7.208797
1.15,0.848229,7.204244
1.16,0.834007,7.19967
1.17,0.819935,7.195076
1.18,0.806025,7.190462
1.19,0.792289,7.18583
1.2,0.77874,7.181179
1.21,0.76539,7.17651
1.22,0.752251,7.171823
1.23,0.739336,7.167119
